Skeleton_ID,Skeleton_Comment,Node_ID,X,Y,Z,Radius,Node_Comment,index,From_Soma?,Branch_node?,End_node?,Dendrite_Level,Euclidean_Distance_From_Soma,Sholl_Classification,Parent_ID
133,,11829,25057,4005,939,4.47898,.,11548,.,.,.,secondary,324.55199891542804,Basal,11828
133,,11830,25046,4022,957,6.44972,.,11549,.,yes,.,tertiary,320.0093748626749,Basal,11829
133,,11831,25024,4021,957,1.5,.,11550,.,.,.,tertiary,335.26854907670656,Basal,11830
133,,11832,24999,4024,944,1.5,.,11551,.,.,yes,tertiary,362.54930699147667,Basal,11831
133,,11833,25065,4031,924,4.56504,.,11552,.,.,.,tertiary,334.0673584772987,Basal,11830
133,,11834,25072,4035,886,2.592,.,11553,.,.,.,tertiary,361.6241142401872,Basal,11833
133,,11835,25092,4049,871,2.592,.,11554,.,.,.,tertiary,366.6456054557316,Basal,11834
133,,11836,25091,4059,842,3.1104,.,11555,.,.,.,tertiary,394.23470166894236,Basal,11835
133,,11837,25089,4076,834,3.1104,.,11556,.,.,.,tertiary,405.6969312183665,Basal,11836
133,,11838,25121,4108,801,2.592,.,11557,.,.,.,tertiary,431.0951171145412,Basal,11837
133,,11839,25153,4137,746,3.1104,.,11558,.,.,.,tertiary,481.04157824454217,Basal,11838
133,,11840,25158,4157,715,2.16,.,11559,.,.,yes,tertiary,515.0155337463133,Basal,11839
133,,11841,25079,3916,999,3.1104,.,11560,.,.,.,secondary,272.82778450883626,Basal,11826
133,,11842,25056,3897,971,2.592,.,11561,.,.,.,secondary,312.648364780627,Basal,11841
133,,11843,25042,3886,944,3.1104,.,11562,.,.,.,secondary,343.8444415720574,Basal,11842
133,,11844,25011,3855,904,3.73248,.,11563,.,.,.,secondary,401.30910779597315,Basal,11843
133,,11845,25002,3840,874,4.47898,.,11564,.,.,.,secondary,433.2308853255963,Basal,11844
133,,11846,24968,3760,867,2.592,.,11565,.,.,.,secondary,490.29174987959976,Basal,11845
133,,11847,24932,3701,847,3.1104,.,11566,.,.,.,secondary,553.1988792468762,Basal,11846
133,,11848,24913,3673,817,3.73248,.,11567,.,.,.,secondary,597.4462318903685,Basal,11847
133,,11849,24909,3648,818,4.95339,.,11568,.,.,yes,secondary,612.4948979379338,Basal,11848
133,,11850,25435,3959,1286,15.407,.,11569,yes,.,.,primary,198.5472236018424,Basal,11823
133,,11851,25568,3873,1285,19.2587,.,11570,.,yes,.,secondary,337.5277766347534,Basal,11850
133,,11852,25565,3815,1304,7.73967,.,11571,.,.,.,secondary,363.70455042520433,Basal,11851
133,,11853,25596,3683,1341,5.37477,.,11572,.,.,.,secondary,472.8985091962122,Basal,11852
133,,16726,25614,3610,1350,6.44973,.,11573,.,.,.,secondary,536.5379762887246,Basal,11853
133,,16727,25607,3562,1350,2.592,.,11574,.,yes,.,tertiary,566.6868623852154,Basal,16726
133,,16728,25599,3552,1365,1.5,.,11575,.,.,.,tertiary,573.8597389606628,Basal,16727
133,,16729,25599,3547,1374,1.5,.,11576,.,.,yes,tertiary,580.4455185458838,Basal,16728
133,,16730,25627,3514,1350,3.1104,.,11577,.,.,.,tertiary,614.7959010923869,Apical,16727
