Skeleton ID,Skeleton Comment,Node ID,X,Y,Z,Radius,Node Comment
,,10499,12042,6171,742,11.1451,.
,,10500,12063,6113,688,7.73967,.
,,10501,12086,6029,614,13.3741,.
,,10502,12099,5929,556,5.37477,.
,,10503,11914,6982,1305,4.47898,.
,,10504,11872,6805,1285,6.44972,.
,,10505,11852,6724,1297,5.37477,.
,,10506,11816,6693,1331,4.47898,.
,,10507,11762,6662,1381,7.43008,.
,,10508,11725,6611,1425,5.37477,.
,,10509,11680,6530,1447,7.73967,.
,,10510,11632,6476,1447,6.44972,.
,,10511,11590,6414,1441,7.73967,.
,,10512,11528,6358,1467,5.37477,.
,,10513,11457,6317,1455,5.37477,.
,,10514,11304,6244,1459,6.44972,.
,,10515,11229,6214,1421,6.44972,.
,,10516,11153,6171,1413,5.37477,.
,,10517,11104,6095,1413,4.47898,.
,,10518,11096,6027,1417,6.44972,.
,,10519,11045,5945,1417,6.44972,.
,,10520,11008,5870,1427,6.44972,.
,,10521,10946,5734,1421,11.1451,.
,,10522,10930,5716,1433,4.47898,.
,,10523,11991,7691,1537,9.2876,.
,,10524,12046,7679,1585,9.2876,.
,,10525,12225,7673,1729,8.9161,.
,,10526,12272,7697,1782,3.1104,.
,,10527,11319,7965,1351,7.73967,.
,,10528,11315,7926,1303,7.73967,.
,,10529,11299,7887,1251,6.44972,.
,,10530,11295,7803,1133,5.37477,.
,,10531,11275,7763,1045,5.37477,.
,,10532,11255,7689,943,6.44972,.
,,10533,11231,7655,884,6.44972,.
,,10534,11219,7631,857,6.44972,.
,,10535,11225,7619,804,7.73967,.
,,10536,11225,7570,718,5.37477,.
,,10537,11237,7546,636,6.44972,.
,,10538,11253,7518,539,7.73967,.
,,10539,11259,7483,435,6.44972,.
,,10540,11249,7423,372,6.44972,.
,,10541,11241,7327,308,6.44972,.
,,10542,11249,7271,252,7.73967,.
,,10543,11279,7205,211,7.73967,.
,,10544,11263,7154,149,9.2876,.
,,10545,11241,7118,119,4.12782,.
,,10546,11219,7087,88,7.73967,.
,,10547,11203,7052,41,7.73967,.
,,10548,11146,8120,1786,19.2588,.
,,10549,11197,8215,1708,7.73967,.
,,10550,11179,8252,1684,7.73967,.
,,10551,11164,8308,1646,6.44972,.
,,10552,11128,8359,1580,6.44972,.
,,10553,11112,8421,1566,6.44972,.
,,10554,11126,8466,1546,5.37477,.
,,10555,11127,8554,1514,4.47898,.
,,10556,11121,8648,1450,6.44972,.
,,10557,11115,8787,1377,6.44972,.
